,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,rural_urban_settings
568,E02000589,1,0,1080.0,43773.3,urban
569,E02000590,1,3,920.0,59667.3,urban
570,E02000591,2,2,860.0,51283.6,urban
571,E02000592,4,4,1500.0,54674.9,urban
572,E02000593,1,1,1080.0,89917.6,urban
573,E02000594,2,1,1130.0,69377.3,urban
574,E02000595,4,0,1160.0,105877.3,urban
575,E02000596,3,0,1250.0,112582.2,urban
576,E02000597,0,0,770.0,60067.3,urban
577,E02000598,0,0,1280.0,533024.3,urban
578,E02000599,0,0,1150.0,1528031.1,urban
579,E02000600,1,0,1090.0,343592.9,urban
580,E02000601,1,0,1190.0,298533.3,urban
581,E02000602,1,1,770.0,232234.0,urban
582,E02000603,1,0,870.0,464329.5,urban
583,E02000604,3,5,1070.0,466478.4,urban
584,E02000605,0,0,1030.0,571582.4,urban
585,E02000606,5,1,1070.0,354572.2,urban
